Time,WL_KienGiang,RF_KienGiang,WL_LeThuy,RF_LeThuy,WL_DongHoi,RF_DongHoi,Tide_DongHoi
8/1/2021 1:00:00,573,0,-7,0,-22,0,-0.144025
8/1/2021 2:00:00,573,0,-8,0,-12,0,-0.0703503
8/1/2021 3:00:00,572,0.2,-8,0.2,-1,0.2,0.0218809
8/1/2021 4:00:00,572,0.2,-9,0.2,9,0.2,0.113297
8/1/2021 5:00:00,572,5.8,-10,5.8,11,5.8,0.18114
8/1/2021 6:00:00,573,0.8,-10,0.8,14,0.8,0.205456
8/1/2021 7:00:00,573,0.2,-11,0.2,16,0.2,0.177885
8/1/2021 8:00:00,573,0,-11,0,6,0,0.108648
8/1/2021 9:00:00,573,0,-11,0,-3,0,0.0183367
8/1/2021 10:00:00,573,0,-11,0,-13,0,-0.0635026
8/1/2021 11:00:00,573,0,-10,0,-16,0,-0.114944
8/1/2021 12:00:00,573,0,-10,0,-18,0,-0.126394
8/1/2021 13:00:00,573,0,-9,0,-21,0,-0.099624
8/1/2021 14:00:00,573,0,-9,0,-14,0,-0.0432745
8/1/2021 15:00:00,574,0,-9,0,-6,0,0.0302226
8/1/2021 16:00:00,574,0,-9,0,1,0,0.104708
8/1/2021 17:00:00,574,0,-9,0,3,0,0.160252
8/1/2021 18:00:00,573,0,-9,0,4,0,0.176933
8/1/2021 19:00:00,573,0,-9,0,6,0,0.142725
8/1/2021 20:00:00,573,0,-9,0,-5,0,0.0608885
8/1/2021 21:00:00,574,0,-9,0,-16,0,-0.0489675
8/1/2021 22:00:00,574,0,-9,0,-27,0,-0.158038
8/1/2021 23:00:00,573,0,-9,0,-33,0,-0.239611
8/2/2021 0:00:00,573,0,-9,0,-38,0,-0.27762
8/2/2021 1:00:00,572,0,-9,0,-44,0,-0.268329
8/2/2021 2:00:00,572,0,-9,0,-35,0,-0.216701
8/2/2021 3:00:00,572,0,-9,0,-27,0,-0.132436
8/2/2021 4:00:00,572,0,-9,0,-18,0,-0.0290941
8/2/2021 5:00:00,572,0,-9,0,-8,0,0.0749677
8/2/2021 6:00:00,572,0,-9,0,2,0,0.158077
8/2/2021 7:00:00,572,0,-9,0,12,0,0.201493
8/2/2021 8:00:00,572,0,-9,0,12,0,0.197777
8/2/2021 9:00:00,572,0,-9,0,12,0,0.155329
8/2/2021 10:00:00,572,0,-9,0,12,0,0.0950141
8/2/2021 11:00:00,572,0,-9,0,5,0,0.0404614
8/2/2021 12:00:00,572,0,-9,0,-2,0,0.00827307
8/2/2021 13:00:00,572,0,-9,0,-9,0,0.00390874
8/2/2021 14:00:00,572,0,-9,0,-2,0,0.0240119
8/2/2021 15:00:00,572,0,-9,0,5,0,0.0610144
8/2/2021 16:00:00,572,0,-9,0,12,0,0.105329
8/2/2021 17:00:00,572,0,-9,0,12,0,0.1444
8/2/2021 18:00:00,573,0,-9,0,11,0,0.162191
8/2/2021 19:00:00,573,0,-9,0,11,0,0.142922
8/2/2021 20:00:00,573,0,-9,0,-3,0,0.0787244
8/2/2021 21:00:00,572,0,-10,0,-17,0,-0.0238146
8/2/2021 22:00:00,572,0,-10,0,-31,0,-0.143733
8/2/2021 23:00:00,572,0,-10,0,-38,0,-0.253399
8/3/2021 0:00:00,572,0,-11,0,-44,0,-0.329158
8/3/2021 1:00:00,572,0,-11,0,-51,0,-0.358308
8/3/2021 2:00:00,572,1.2,-11,1.2,-46,1.2,-0.339285
8/3/2021 3:00:00,573,0,-11,0,-42,0,-0.277522
8/3/2021 4:00:00,573,0,-11,0,-37,0,-0.182098
8/3/2021 5:00:00,573,0,-11,0,-27,0,-0.0658541
8/3/2021 6:00:00,572,0,-12,0,-18,0,0.0531505
8/3/2021 7:00:00,572,0,-12,0,-8,0,0.153289
8/3/2021 8:00:00,572,0,-12,0,-2,0,0.215942
8/3/2021 9:00:00,571,0,-11,0,5,0,0.233688
8/3/2021 10:00:00,571,0,-11,0,11,0,0.214078
8/3/2021 11:00:00,572,0,-11,0,8,0,0.175597
8/3/2021 12:00:00,573,0,-11,0,4,0,0.138192
8/3/2021 13:00:00,574,0,-11,0,1,0,0.114735
8/3/2021 14:00:00,574,0,-10,0,2,0,0.108463
8/3/2021 15:00:00,573,0,-9,0,4,0,0.116118
